Sample,Postcode,Address,Latitude,Longitude,moll_lat,moll_lon,Rurality
142,,,38.9,-92.3,4666079.097486394,-7916662.440792727,21
143,,,39.7,-121.8,4755838.955352894,-10372508.451858671,11
144,,,36,-79.2,4337579.950562795,-6959607.467476036,11
145,,,41.7,-93.6,4978517.873315134,-7822543.946868941,23
146,,,37.3,-120.5,4485428.651890568,-10477795.173591917,30
147,,,34,-78.4,4108337.84708608,-6995126.544091236,11
148,,,35.8,-78.7,4314751.463942467,-6926581.637076698,12
150,,,39.4,-85.2,4722224.088198904,-7275295.801099285,11
151,,,44,-123.1,5231409.460379818,-10050478.971993709,21
152,,,47,-123.9,5555784.3927511,-9782524.263673266,21
153,,,39.5,-80.4,4733435.0894455165,-6859256.001769117,11
154,,,43.5,-116.4,5176733.604059025,-9553408.909199286,12
155,,,35.9,-78.9,4326168.419072049,-6938722.796317693,21
158,,,35.6,-78.8,4291901.349772842,-6946243.382064705,21
160,,,41.9,-87.7,5000646.662737804,-7315138.032947921,30
161,,,45.5,-122.8,5394399.796378014,-9863877.768527476,30
162,,,35.8,-79.1,4314751.463942467,-6961786.626337568,13
163,,,37.9,-122.3,4553346.138548651,-10580876.629869564,30
164,,,35.3,-80.9,4257585.919552411,-7147959.997428066,21
165,,,33.6,-97.1,4062240.00108359,-8688872.332057562,11
166,,,40.3,-121,4822904.1974516725,-10247882.443911461,11
167,,,37,-91.7,4451393.266128351,-7993335.039955807,13
168,,,35.8,-78.7,4314751.463942467,-6926581.637076698,12
170,,,36.1,-83.9,4348986.041640936,-7366772.7065491965,21
171,,,37.8,-122.3,4542040.864253972,-10589845.433414381,30
172,,,34.1,-117.7,4119849.5791734387,-10493896.275519175,30
173,,,42.5,-76.5,5066877.25924736,-6343074.413906897,12
174,,,47.3,-122,5587862.881841395,-9598352.970493734,11
175,,,40.8,-107,4878622.100046948,-9019922.972321132,11
176,,,36.2,-115.3,4360386.675514761,-10115773.008581286,30
177,,,35.9,-106.3,4326168.419072049,-9348367.975267056,22
178,,,36,-80.3,4337579.950562795,-7056268.68230209,21
179,,,30.5,-87.2,3702325.5456642844,-7969312.76322516,30
180,,,42.3,-71.1,5044826.500767855,-5907118.424773402,30
182,,,35.6,-78.8,4291901.349772842,-6946243.382064705,21
183,,,33.5,-94.6,4050702.892244759,-8471268.86659019,12
185,,,42.5,-71.2,5066877.25924736,-5903619.585230995,30
186,,,40.7,-122.9,4867490.986514479,-10370025.173596941,11
187,,,47.6,-122.6,5619873.989038884,-9610985.05255315,12
188,,,39.5,-104.7,4733435.0894455165,-8932389.345587393,12
189,,,38,-78.5,4564645.650180879,-6785713.61647473,21
190,,,35.8,-78.9,4314751.463942467,-6944184.131707134,12
191,,,35.6,-78.8,4291901.349772842,-6946243.382064705,21
192,,,40.5,-74.6,4845210.023486283,-6306379.450650705,11
193,,,36,-78.9,4337579.950562795,-6933245.317978021,30
194,,,35.5,-77,4280468.224191657,-6792855.461302137,12
195,,,35.9,-78.3,4326168.419072049,-6885956.843493985,12
196,,,39.3,-76.6,4711007.064735232,-6546791.568795385,30
197,,,43.1,-89.4,5132871.142571277,-7367754.757158187,10
198,,,33.9,-79.1,4096821.006802832,-7062752.468366373,11
199,,,45.5,-122.6,5394399.796378014,-9847812.821021732,30
200,,,31.1,-85.4,3772341.8763246927,-7774562.316646496,11
201,,,36,-78.9,4337579.950562795,-6933245.317978021,30
202,,,41.8,-88.2,4989585.492155518,-7364052.819338549,30
203,,,35.8,-78.7,4314751.463942467,-6926581.637076698,12
204,,,39.9,-75.2,4778218.522360791,-6392403.617064384,30
205,,,36.2,-79.1,4360386.675514761,-6939788.768246136,11
206,,,39.9,-75,4778218.522360791,-6375402.543614744,30
208,,,40.3,-122.4,4822904.1974516725,-10366452.98458482,11
209,,,34.2,-77.9,4131356.186610764,-6940285.425420065,21
210,,,41.1,-75.8,4911977.755229252,-6371662.309578698,11
211,,,40.3,-76.7,4822904.1974516725,-6495971.764033131,21
212,,,41.9,-87.7,5000646.662737804,-7315138.032947921,30
213,,,42.4,-97.4,5055855.158535961,-8084105.235998934,11
214,,,38.3,-76.5,4598509.437439485,-6595856.184966987,22
215,,,40.3,-80.2,4822904.1974516725,-6792398.115716522,21
216,,,39.8,-84.9,4767031.784989593,-7223535.880198711,12
217,,,38.4,-81.7,4609785.726655623,-7038125.792509384,12
218,,,42,-91.6,5011701.366996126,-7632933.851180979,12
219,,,34.1,-118,4119849.5791734387,-10520643.674692122,30
220,,,36.1,-115.3,4348986.041640936,-10123824.708761888,30
222,,,36.1,-79.8,4348986.041640936,-7006775.470591487,30
224,,,36.5,-80.6,4394555.66572155,-7054405.637287408,22
